,Cmpd_2,Cmpd_3,Cmpd_4,Cmpd_5,Cmpd_7,Cmpd_10,Cmpd_11,Cmpd_12,Cmpd_13,Cmpd_14,Cmpd_15,Cmpd_16,Cmpd_17,Cmpd_18,Cmpd_19,Cmpd_20,Cmpd_21,Cmpd_22,Cmpd_23,Cmpd_24,Cmpd_25,Cmpd_27,Cmpd_28,Cmpd_29,Cmpd_30,Cmpd_31,Cmpd_32,Cmpd_34,Cmpd_35,Cmpd_36,Cmpd_38,Cmpd_40,Cmpd_41,Cmpd_42,Cmpd_43,Cmpd_44,Cmpd_45,Cmpd_47,Cmpd_48,Cmpd_49,Cmpd_50,Cmpd_52,Cmpd_54,Cmpd_55,Cmpd_56,Cmpd_59,Cmpd_60,Cmpd_61,Cmpd_68,Cmpd_73,Cmpd_75,Cmpd_76,Cmpd_77,Cmpd_78,Cmpd_80,Cmpd_82,Cmpd_83,Cmpd_86,Cmpd_87,Cmpd_89,Cmpd_92,Cmpd_94,Cmpd_95,Cmpd_99,Cmpd_101,Cmpd_105,Cmpd_106,Cmpd_107,Cmpd_109,Cmpd_111,Cmpd_119,Cmpd_120,Cmpd_123,Cmpd_127,Cmpd_130,Cmpd_131,Cmpd_139,Cmpd_141,Cmpd_142,Cmpd_144,Cmpd_146,Cmpd_147,Cmpd_148,Cmpd_150,Cmpd_151,Cmpd_152,Cmpd_153,Cmpd_155,Cmpd_162,Cmpd_169,Cmpd_171,Cmpd_174,Cmpd_180,Cmpd_182,Cmpd_184,Cmpd_188,Cmpd_190,Cmpd_194,Cmpd_196,Cmpd_199,Cmpd_201,Cmpd_202,Cmpd_212,Cmpd_213,Cmpd_222,Cmpd_224,Cmpd_226,Cmpd_230,Cmpd_232,Cmpd_257,Cmpd_267,Cmpd_277
S_11,1726682,19831800,3859858,254836,2057484,788060,4656087,18699876,34410177,2104420,57378307,2428878,13806937,874265,57051716,12051243,2428142,1113403,4316479,11257353,2078441,2550276,7021768,1461593,48012095,59456542,2981568,30816878,28132761,2251510,3148906,1013886,388253,10085008,1955619,1636780,6939883,86368,956022,1136292,17131401,674695,621312,21694696,130846,16446316,6730339,3416228,2098700,5378626,93304,41966378,578757,53800,1930803,744072,82838,256382,251441,1264944,6202609,566959,227827,336634,187660,627630,33986,1406247,54001445,84981,287917,212111,68718,117679,6237287,17113740,1115376,912242,2624000,2742000,23881,1229946,37032,1204976,18118,19587347,44059469,222205,1389842,127923,85578,172082,370459,119914,15838,1341690,NA,NA,21633570,157838,169580,NA,782536,354894,116062,194932,51075,1795578,NA,52435,265148,3944130
S_12,1998137,26274339,8210561,616779,2290100,931005,6830574,32428882,45102481,2905191,57691453,1536442,32182497,679824,70229501,14616624,5142695,2292386,8182000,17688202,4297878,3106114,14851537,2244556,67087136,84366343,5890352,29226586,33560499,4150125,5976728,1474975,92509,14440139,2946384,2758433,14365696,73886,901616,751107,22443930,307201,1147872,28375159,27637,13693123,7156605,10041526,4636177,3008226,76537,50024602,1375379,74153,3872807,3801383,297668,377964,619047,2289351,6017305,1291666,637628,1136762,384050,977531,122587,4308509,50906183,127084,1256809,298982,98838,194326,6013127,25490681,556504,508964,1222990,5291378,13300,1216352,38380,1094556,34946,30097981,68077743,988157,2408985,207062,437428,154931,154055,306203,32919,1675219,382240,121768,32413095,20843,173494,82544,473454,331427,165988,187760,58471,1373462,NA,75734,634032,2587909
S_13,1983463,33721858,5274626,230284,2880376,1347169,5818748,61399914,59629755,2178570,79509467,1704911,47586155,728047,88784802,20759339,10020065,3007326,9432473,28837652,3353862,2899963,14999470,2858417,81246912,114327456,7937738,35337182,18173246,1852989,12997837,2203204,365614,4702578,2082918,1567157,12802993,82377,862207,769276,29186256,280839,1335908,61385604,171728,44322381,12818036,9565339,2288453,12086107,258687,67704635,716926,248927,2089187,263403,260749,427751,491937,1913550,7023666,NA,335842,1176160,211371,1117514,56103,4090754,46838532,90464,692644,499344,90665,257031,5214784,35556680,332484,654855,2775975,5014182,165329,1091209,32264,933919,40027,43101036,96324864,3829746,2667263,260185,361545,161566,NA,287084,40276,1592930,291932,208974,35954884,21374,171565,50581,921056,795010,NA,1460269,NA,2635560,39720,100717,203185,10335281
S_14,2627819,18469523,4631535,250471,938249,1113557,5438493,13067134,34924072,1275569,15453387,1200555,5562376,1065410,77905579,12376667,1065445,768104,2907791,11873543,1419004,3274109,7364844,2488097,48202266,73520793,2035510,55348905,36906071,4469467,2336502,705954,391712,15729468,1845217,2032584,5254813,116676,661452,1089207,17752255,125216,491527,24230002,135994,4802424,7288312,4682310,529629,5076899,99478,39973359,769121,156401,1308727,8000724,97536,321030,235020,1231942,7698421,1379777,551473,1032552,287607,1286699,70920,1533311,26149993,129335,353380,201936,NA,100496,4797717,11534829,795529,472556,NA,1135308,29323,869724,48442,1025319,78130,21109957,55493508,314135,NA,69213,65752,181690,277620,98860,35737,NA,420424,131949,23259207,335420,64120,29637,157648,264385,90172,NA,73639,NA,35727,NA,865840,3910950
S_15,2935258,21712694,10078799,426488,2338317,1135337,4660913,13536183,37671653,1534874,42815265,900113,15771822,765068,67400582,12163759,2003503,1363473,4479388,15851116,3440173,3364146,9851132,2302424,60541275,77276028,4788958,49090420,33868939,8042224,8470121,691435,386761,12018374,2811781,1887718,7139610,100106,553532,859171,20702308,182904,666851,30885460,160524,6443472,8267500,5721922,2571380,2173703,52625,42020910,767957,17920,7252047,5564436,62928,563493,517278,1995785,6702513,4467893,743287,1252178,189999,753306,117426,1949741,57261151,206156,854803,227772,NA,121898,7303433,18862500,1560154,731927,531947,2986947,46505,1318716,40960,1212141,110852,25786223,61042248,1043366,2140870,131655,804144,213334,691340,177325,50026,2020024,484651,193208,585791,330646,133067,NA,297841,337033,240794,213645,51009,2248852,NA,57978,591310,1846131
S_16,3156567,32775134,5032558,552057,1686903,1578827,9513198,37164766,56356214,1688372,38737625,1533330,33105398,973448,105715251,19802191,5011074,2751630,13617430,31808343,1885683,1603603,15225052,4458753,92699661,116870224,10648119,32295300,13885011,1891695,16005572,4950964,421200,13891910,1921120,1382934,13563757,115546,397650,696375,30170060,353386,1680930,67177543,141452,12392296,13403047,10205318,2437129,19566976,196400,59849966,680977,110253,1009882,774439,349699,599716,540509,2016847,7296312,74129326,10602690,1151751,150316,1253907,1711353,2261464,43998906,68525,680074,666895,58574,310810,5084937,21457391,243706,NA,343701,12606021,64032,1037453,38089,1641553,224304,39796477,80063228,1900611,483970,250216,102716,198192,56562,195153,27454,255659,259217,346522,59418525,448110,208619,26468,188933,240898,94226,NA,59840,NA,51583,119501,310160,7497339
S_17,1926092,20543198,3786502,197043,1833060,640257,4536377,11506814,35996923,1750563,65101430,3265183,9531373,698748,61117795,11705826,1136501,1295896,4282297,6847833,5376964,2898647,8534669,1112980,49075472,61229516,2913886,26829807,29155288,2318427,2941617,654490,290829,4369884,2127265,1247201,6741997,67748,547985,1253056,16278837,544416,412352,13336459,271722,53041268,5996329,3749053,1128177,6809789,337612,44008700,611950,133584,4115403,118496,214604,217101,493812,1598551,5793532,1462134,406302,356262,167114,542219,56247,2041793,45583878,76461,286690,114319,135334,77248,14377130,14232363,1029603,467094,3917870,1905207,245752,1069521,38493,841370,36931,20142296,41526620,533453,8160840,68647,407312,194096,244295,103539,19616,1762152,261613,51492,19937013,62702,77658,34462,1374193,454364,166135,430043,69446,1068645,NA,NA,NA,11272550
S_18,2497807,27207027,5992133,273013,2700143,1149955,4343033,33340712,47246040,2539445,78511540,2544051,33193139,936356,72725507,15695934,6395546,1897719,5130208,20943590,3888982,3022319,10889225,2241092,64892619,87359694,7469857,38958856,30168018,5758013,6888933,1535646,255856,3805537,2234641,1554937,8057925,94015,861980,766811,22970053,413934,1345439,35954897,215496,39111808,13486952,5130642,1619768,10122285,252289,53979131,830336,167970,3556346,97401,342885,415446,611064,1619269,5789332,765047,396134,889158,170782,700290,60519,2160893,58913205,138353,388420,373258,85841,246840,6302542,15588512,443729,1025487,2939307,5007387,209567,1291961,45827,1144338,42764,32976011,73294246,1490671,3873170,234892,943861,204254,212000,129347,18621,1569389,402714,143600,38832956,78400,159250,NA,896674,478983,161562,836087,73186,1063053,NA,104599,241307,10930165
S_19,1669901,19614240,4904610,540793,2327708,700752,3679612,25531558,35456198,1853951,26493460,1904265,23056782,690479,63660255,11141428,2477445,1390996,2709815,14872620,5014999,1025165,7378917,1279477,41412877,67217267,11543472,33642669,15557112,5374532,5362441,2251514,349908,2480871,2362413,1207810,5826019,95164,486526,1001834,16161667,242116,1072273,29595667,312890,8299946,8933064,3635994,965530,8493161,176121,38067378,500533,65232,83413302,75683,219121,239415,605555,913971,6629382,3603624,611851,668992,124480,636927,109635,1310990,39225148,199490,715413,472238,132968,191178,6293809,8390928,1119615,894915,495143,3808207,38782,952479,58585,1923876,54145,26240875,55778533,1651124,2122697,126879,1200367,123134,308869,73220,27862,962062,379043,236179,515675,202888,99298,32549,189055,234408,107266,407293,40214,22444866,NA,70176,198264,3415210
S_20,1428616,17229365,4097811,183816,1645551,586371,3595757,6948126,30820521,2076782,40825639,3022564,17328461,588119,58534159,9828603,1192371,991599,2278864,8705055,2358784,1320178,6142170,885537,28601951,50839990,9890023,21358666,24140726,10777190,1986326,1162513,236140,1816595,2822413,970574,4808192,80601,776062,1412252,12360172,381984,463666,14375677,281168,12248664,7097672,3179962,414248,4033205,223498,36253744,650847,84825,83299507,125777,300325,282127,431905,1220577,5412741,2066714,987397,293095,126655,417443,107818,1332490,26115273,258773,579283,319961,141802,82663,6222520,6256235,2339573,1035486,1186914,664279,20099,798186,67914,2502170,92124,17509436,36489023,164025,1448631,99186,2031582,178703,360729,85110,43102,753286,297638,127557,9966052,547039,108787,105504,365314,389779,205968,202066,51779,21570314,262264,63557,39932,3000035
S_21,1872543,22138961,6740227,409954,2386563,718140,4846008,16249695,31634359,2128310,33391500,2741688,8559930,718894,61019697,9928547,2027117,1161600,4035140,6684036,9410527,2141219,7244844,1177037,41160388,53354514,2962524,21444606,40331043,4216837,2641750,1651992,439146,7816758,2913876,1240270,5453356,67379,500601,1186296,13479370,449796,922389,14889292,543297,19660555,6875505,2778230,1953381,10412285,282588,42420831,457969,19685,38894807,77763,306550,217038,382763,1151215,5936386,1561074,266500,439630,136533,689228,50186,1271875,23546496,129834,143459,358773,201352,166248,40844741,10835817,204672,653959,2525102,4461585,54095,751344,64928,1241209,24270,19879719,36367874,614302,6547141,188959,525710,184067,253748,66629,17067,7256119,365199,161681,11938431,80169,166111,109714,876585,183311,NA,124870,NA,9669794,48455,125945,NA,8026511
S_22,1901938,41467087,10580551,1844209,2469248,1377171,11268669,90981324,66808919,3620987,92370934,1693877,44828995,1052444,104753500,23392169,7028189,5305104,31118237,36052496,4343502,1325861,27480650,3850312,89893855,128875504,11035224,15196943,19477205,15895881,10922409,8735042,48589,3167413,4596352,4865813,21710222,69700,735142,858910,32031683,1381664,3024382,36017234,63343,31313457,8371547,23784645,2670184,28259058,776512,72505663,1939802,164478,139017444,94680,972391,570508,1004490,3057502,6503698,8227726,1161821,1135819,466827,950814,239241,11202269,24859083,205842,2145077,1637423,138041,479127,5706591,23953442,906675,594416,1350224,9650794,80144,876474,76465,1118756,100259,49316973,105650648,6121471,2089724,392721,578962,198305,193874,801861,41969,1554674,441638,1471712,39910563,332365,278768,204189,415695,546950,110948,144879,41918,38746437,NA,205551,NA,15836288
S_23,1655502,18842736,4447652,217989,1460984,638123,4073947,5505768,32079376,2375285,69334907,2565555,10945868,669463,50873340,9764451,616798,1263334,3684123,5147519,7991611,1632356,7664918,1095884,32732757,53367810,6193815,23491903,28411559,10970174,1302309,1479713,357972,1982192,4340430,1209345,7306129,51658,414607,1121635,11618453,794956,873171,10781634,325339,29253584,4920343,4435974,1229117,7202679,262489,41517075,637529,20150,100121367,152936,307497,260277,629098,1613833,6276844,2432153,462294,586855,177391,531825,102170,2732961,9096251,181475,625596,124730,436051,148433,28430674,9232651,1921508,988073,903081,809424,20611,490902,118231,708616,53967,16402705,37231467,NA,2299427,75664,312156,174021,213296,163207,35621,1882485,297395,191377,5093982,223926,242312,112216,324817,465186,200349,137994,74457,27783262,57400,47917,NA,3409458
S_24,1606156,16975943,3535572,351780,2146074,558646,3889661,6388891,31025385,2355985,64331907,2815546,8178396,710614,55355488,9543748,1115174,1009616,3334946,4797521,13921597,1741051,6548014,865235,36361061,50149709,3472740,22905881,23293437,5676432,1288447,2030697,253998,4227466,3882988,971624,5441067,47386,430271,1049583,11821016,802161,458605,10240359,648722,24943746,5934790,3582012,729086,17385873,475516,40579440,640792,25769,30972128,105374,276805,211360,311370,1228227,5976446,1296938,294701,255459,153413,512354,55274,2276369,14704161,213236,193532,103412,263199,90935,48080170,8059959,720320,525300,1378331,2002042,120780,673147,81228,874952,22795,15470466,33132324,450825,1446631,125198,383522,166447,564442,106827,100836,3730484,300435,94085,16360300,84228,132721,115064,600832,220673,NA,NA,107177,7726858,NA,90323,NA,13819442
S_25,1829985,16223858,7435423,160459,1612389,667629,3504690,9363181,28042055,1736995,35659272,2375247,13453694,525588,57494982,8838454,1251782,1064502,2568957,12213092,2785308,1382298,6577676,1316544,28425534,57694837,7843865,26667684,22708858,7101486,2469866,1645236,357294,2594787,2695841,1157388,5979943,83930,371738,1321489,12375528,181685,607795,20905983,184519,19485283,6896693,4553038,1266268,7668660,262650,32379561,608348,61973,24026546,1554348,262703,287462,731585,1744307,6451324,2143453,1383930,637820,107848,699812,210627,1732241,23766647,139677,1141576,395223,100243,108098,5152434,9345121,2927894,749264,440435,1032065,29185,787947,59231,1354833,118221,20793209,47590606,451652,892359,95687,1087266,182428,740446,142027,51105,692078,292354,441037,17036320,205020,111451,47587,140246,818674,135697,173709,NA,6236880,65207,53172,167728,4734636
S_26,1664321,19359918,5490828,176994,1610449,781887,4539648,17249727,33010849,2028633,46981678,2345936,25663830,590281,61659216,10860110,1941845,1569799,3887556,11879898,4081992,1103735,7813585,1109456,39237649,60450371,14448308,29272323,13728455,10858811,3324523,3236316,403740,3263291,2987062,1166584,6921405,85567,274422,1275506,14129078,422734,997809,21983438,217036,12512756,9138112,4304418,NA,13653636,320925,37428550,648695,51160,62582599,165272,337534,431366,659482,2015368,6090247,2802680,1103038,1712287,83811,654561,174973,1854150,32085131,431599,1125666,332444,132831,172558,8193982,12120459,1315501,1255016,453606,1071722,31493,876604,93103,2174157,108569,23089049,47612818,914827,1950454,122852,2204344,194134,764041,168693,52047,1352972,307466,253776,22227960,129832,106959,65974,146821,360879,458585,174268,NA,16908735,NA,60803,137303,4954613
S_27,1594675,16995510,4253666,183354,1396334,676956,4384579,7144414,29447080,1737668,57568999,2634331,9481660,640613,58502201,10622949,754194,1086413,3199734,5550998,6153237,1451870,6431824,805352,27642281,48209471,5351992,18976727,24871178,2935454,1325492,1394553,302908,1349101,2345309,1048506,5908219,69101,864011,1110649,10841943,473950,470780,11119697,323445,17241940,6015735,3074838,NA,6673979,201841,38756206,631477,23537,16376773,102556,239920,195318,482495,1461759,5713605,2558214,678281,NA,118957,459741,103476,1719372,7725504,64127,961838,262684,203094,89002,21459869,8039201,1398914,554709,476062,636681,19101,439823,70268,750862,55924,16337800,33453569,357988,1166322,57974,274816,201745,235196,88360,31153,948188,224946,119069,5123838,83562,263267,70324,172324,553116,76224,93432,53345,4266042,NA,46685,NA,3071567
S_28,1527608,21551930,3058839,304790,1414641,745012,4444426,16529394,37903679,1627918,37842159,1824684,19893271,802431,70912439,13643435,1711724,1206177,4474293,10980145,3694846,776717,6997833,1064796,41886773,62871639,5885005,30172513,3702378,4272720,1972970,5040914,221377,4862071,10337053,1265047,6123732,78723,867557,1494556,17443371,591381,691086,18336017,264355,25205828,10027408,3452096,264572,22306297,409521,45470731,912095,124522,165486239,44670,760162,267441,517838,1572205,5863278,652295,436881,392952,126077,642018,66289,2061748,23404322,406745,312399,253587,86456,128730,7366087,8931602,241693,398835,1070732,1925679,52613,786731,145790,1451215,36022,20710158,47044139,1265473,798940,239203,1401650,184203,81298,73722,18035,1091443,351962,117684,36230549,237980,163833,110973,330041,445057,118893,283187,63917,47739549,36758,171400,NA,9571739
